Country,Month,Temperature,Humidity
Algeria,August,21.79,23.21
Algeria,August,23.68,33.71
Algeria,August,23.76,38.66
Algeria,August,24.44,11.07
Algeria,August,26.09,34.28
Algeria,August,27.47,51.0
Algeria,August,30.73,86.95
Algeria,August,36.37,74.91
Algeria,August,36.8,27.63
Algeria,August,37.64,65.9
Algeria,August,38.09,14.98
Algeria,August,38.9,76.59
Algeria,August,39.45,18.55
Algeria,August,39.85,40.28
Algeria,August,40.64,53.5
Algeria,August,40.64,88.61
Algeria,August,42.35,20.96
Algeria,August,42.89,36.42
Algeria,August,46.47,85.98
Algeria,August,48.32,16.34
Algeria,July,21.43,20.43
Algeria,July,21.73,13.19
Algeria,July,23.31,18.2
Algeria,July,24.66,39.86
Algeria,July,25.57,69.03
Algeria,July,27.05,54.34
Algeria,July,27.18,24.43
Algeria,July,27.65,78.13
Algeria,July,27.79,56.9
Algeria,July,27.93,89.6
Algeria,July,28.08,33.71
Algeria,July,28.35,54.88
Algeria,July,28.93,48.66
Algeria,July,31.1,31.0
Algeria,July,33.05,70.81
Algeria,July,33.46,57.24
Algeria,July,33.95,62.51
Algeria,July,35.65,74.34
Algeria,July,37.38,27.27
Algeria,July,40.58,80.23
Algeria,July,40.75,48.67
Algeria,July,41.01,10.88
Algeria,July,41.0,26.75
Algeria,July,45.52,71.5
Algeria,July,45.86,81.32
Algeria,July,47.25,50.86
Algeria,June,22.11,17.2
Algeria,June,24.76,60.03
Algeria,June,25.38,18.63
Algeria,June,26.19,45.22
Algeria,June,29.45,55.75
Algeria,June,29.83,13.77
Algeria,June,29.92,34.26
Algeria,June,30.62,33.56
Algeria,June,31.84,82.76
Algeria,June,35.15,77.49
Algeria,June,35.45,14.72
Algeria,June,38.21,79.92
Algeria,June,40.16,47.54
Algeria,June,40.25,55.46
Algeria,June,40.57,48.94
Algeria,June,41.77,71.27
Algeria,June,43.42,81.64
Algeria,June,43.71,39.58
Algeria,June,44.86,15.02
Algeria,June,47.95,74.2
Algeria,May,20.52,60.1
Algeria,May,22.48,62.24
Algeria,May,23.07,21.88
Algeria,May,24.36,33.85
Algeria,May,25.38,59.99
